DATE_EST,STORY_ID,TICKER,CLOSEST_ID,CLOSEST_SCORE,TOTAL_OVERLAP,IS_OLD,IS_REPRINT,IS_RECOMB
2018-05-29 00:00:01.467000-04:00,20180529000002,LEHTO.HE,,,0.0,False,False,False
2018-05-29 00:00:32.111000-04:00,20180529000003,GRB.V,,,0.0,False,False,False
2018-05-29 00:03:07.192000-04:00,20180529000008,2777.HK,,,0.0,False,False,False
2018-05-29 00:05:35.954000-04:00,20180529000009,UKDAY,,,0.0,False,False,False
2018-05-29 00:05:44.091000-04:00,20180529000009,UKDAY,20180529000009,0.4097222222222222,0.1,False,False,False
2018-05-29 00:05:55.409000-04:00,20180529000012,ORPHA.KO,,,0.0,False,False,False
2018-05-29 00:05:57.682000-04:00,20180529000009,UKDAY,20180529000009,0.28957528957528955,0.11703703703703704,False,False,False
2018-05-29 00:06:05.323000-04:00,20180529000009,UKDAY,20180529000009,0.09411764705882353,0.03625730994152047,False,False,False
2018-05-29 00:06:13.179000-04:00,20180529000009,UKDAY,20180529000009,0.19230769230769232,0.047265987025023166,False,False,False
2018-05-29 00:08:03.206000-04:00,20180529000017,BLOC.L,,,0.0,False,False,False
2018-05-29 00:08:03.206000-04:00,20180529000017,BLOC.L,20180529000017,0.6805555555555556,0.09607843137254903,False,False,False
2018-05-29 00:13:06.061000-04:00,20180529000026,1296.HK,,,0.0,False,False,False
2018-05-29 00:39:26.333000-04:00,20180529000058,500510.BY,,,0.0,False,False,False
2018-05-29 00:45:22.917000-04:00,20180529000074,WFD.AU,,,0.0,False,False,False
2018-05-29 01:00:00.772000-04:00,20180529000079,RHHBY,,,0.0,False,False,False
2018-05-29 01:00:00.772000-04:00,20180529000079,RO.EB,,,0.0,False,False,False
2018-05-29 01:00:00.772000-04:00,20180529000079,ROG.EB,,,0.0,False,False,False
2018-05-29 01:00:00.772000-04:00,20180529000079,RHHBY,20180529000079,0.5,0.22008547008547008,False,False,False
2018-05-29 01:00:00.772000-04:00,20180529000079,RO.EB,20180529000079,0.5,0.22008547008547008,False,False,False
2018-05-29 01:00:00.772000-04:00,20180529000079,ROG.EB,20180529000079,0.5,0.22008547008547008,False,False,False
