,ticker,date,count,length,PctOld,PctRecombination,ExtentOld,ExtentRecombination,AbnPctOld,AbnPctRecombination,AbnRet,|AbnRet|,AbnVol,Stories,AbnStories,Terms,MCap,BM,AbnRetPrev5,AbnVolPrev5,Illiq
0,AA,20150408,1,465.0,1.0,0.0,0.96,0.1499999999999999,0.4177134853613931,-0.0677951011344178,0.019200619128635105,0.019200619128635105,0.011955854613506574,1,0.0,465.0,23.534785348103966,0.0,0.02921204873519207,0.0013674497068335944,2.6173550049397528e-05
1,AA,20150708,2,454.5,0.5,0.5,0.6799999999999999,0.30499999999999994,0.15900203464689533,0.08567164919988546,-0.0556160583882902,0.0556160583882902,-0.05727703924203714,2,0.0,454.5,23.317406707399734,0.0,-0.009822273029077924,-0.011328725969018166,2.9471432539876908e-05
2,AAL,20150305,1,25.0,0.0,0.0,0.02,-0.009999999999999998,-0.4972514025388815,-0.28399099022874075,-0.0077228228459223225,0.0077228228459223225,-0.016931594931434486,1,0.0,25.0,24.257484041331125,1.2773061542878505e-06,-0.014508524909039942,-0.00921696624667406,3.1135050948476956e-05
3,AAL,20150316,1,334.0,1.0,1.0,0.83,0.62,0.2915032182740809,0.3888538836736724,0.025697477114224213,0.025697477114224213,0.014036296044148949,1,-0.01818181818181818,334.0,24.269206083394337,1.262420930870391e-06,0.04218681135503056,-0.001358250607911385,5.0967434929818684e-05
4,AAP,20150706,1,321.0,1.0,1.0,0.91,0.19000000000000009,0.37194150392323255,-0.042628038288070484,0.008462473059980517,0.008462473059980517,0.0021424823926836705,1,0.0,321.0,23.192105252263577,6.9168084375813e-07,0.0038145689066238324,-0.008997918431037219,0.00013030590746146604
5,AAPL,20150306,1,169.0,0.0,0.0,0.17,0.020000000000000014,-0.3614628780402266,-0.23301424955021066,0.0008853189359687799,0.0008853189359687799,-0.005475687218644504,1,0.0,169.0,27.340531887034018,3.501736136995632e-07,-0.027075588268297306,-0.012136403631195765,1.3813192528476057e-06
6,AAPL,20150309,2,241.5,0.5,0.5,0.755,0.465,0.2409994737168465,0.22194699809774104,0.017785754297304807,0.017785754297304807,-0.0018850128695328105,2,0.2,241.5,27.337099288741097,3.513776844114394e-07,-0.010843291539209777,-0.008970234187541668,1.041563500159948e-06
7,AAPL,20150325,1,369.0,1.0,0.0,0.85,0.030000000000000027,0.3103875474181904,-0.19731299106752945,-0.02049699848455839,0.02049699848455839,-0.0331287828696503,1,-0.05454545454545454,369.0,27.32594003737852,3.5532075626116463e-07,-0.01416391507440629,-0.007872570945588929,1.4425182311097248e-06
8,AAPL,20150402,1,360.0,1.0,1.0,0.7,0.29,0.1606660502054903,0.061722156072330774,0.013351504145521553,0.013351504145521553,0.003174499970930271,1,-0.07272727272727272,360.0,27.31393528216669,3.586508167991673e-07,0.023142132204884765,-0.004635831762485808,2.061379686273836e-06
9,AAPL,20150427,1,258.0,1.0,1.0,0.64,0.32,0.10429068039969223,0.07967610661072783,0.013308123514663706,0.013308123514663706,0.010700224166373952,1,-0.09090909090909091,258.0,27.359746373635623,3.425912921223847e-07,0.03935063761861868,0.0022348015656117708,2.0370635778693597e-06
10,AAPL,20150518,2,307.5,0.5,0.5,0.645,0.30500000000000005,0.12843102044282406,0.07024267471687085,0.010830495481688967,0.010830495481688967,0.005852433451931196,2,-0.10909090909090909,307.5,27.329593335464935,3.5307878065674345e-07,-0.008940635789776686,-0.003732453858253644,1.4189633878275679e-06
11,AAPL,20150608,1,279.0,1.0,0.0,0.75,0.07999999999999996,0.21346151759957754,-0.15765693409367984,-0.004828079497775903,0.004828079497775903,-0.012274040459508858,1,-0.09090909090909091,279.0,27.333635551946923,3.5165444047522986e-07,-0.00277616090168581,-0.008158396017427232,8.276071552592885e-07
12,AAPL,20150721,1,364.0,1.0,1.0,0.65,0.14,0.1105415894052678,-0.08784730491535782,-0.011061507793142359,0.011061507793142359,-0.016717581349686945,1,-0.07272727272727272,364.0,27.353430189137466,3.60544605943908e-07,0.019119711134696807,0.0035358319345788294,1.8083493882656657e-06
13,ABBV,20150304,1,442.0,1.0,1.0,0.72,0.28,0.17831030063650788,0.060042331738419184,0.015216610009715643,0.015216610009715643,0.00495704792948824,1,0.0,442.0,25.272388041230638,2.9135041309279134e-07,-0.02757904009449765,-0.010374654598864538,8.779393689593256e-06
14,ABBV,20150724,1,243.0,1.0,1.0,0.65,0.39,0.11491614235328018,0.14770211302174496,-0.02865871181159472,0.02865871181159472,-0.04267862791172218,1,0.0,243.0,25.40150451904872,5.006022365280494e-07,0.0009771670578940421,-0.005473448756491399,5.922731998436508e-06
15,ABT,20150722,1,108.0,1.0,0.0,0.89,0.08999999999999997,0.3625970611169763,-0.173268295494784,0.028848032280820675,0.028848032280820675,0.016817944995235104,1,0.0,108.0,25.030627000111913,5.943216261963861e-07,-0.02860763291815687,-0.008359455160170207,2.8607087384692617e-05
16,ADP,20150304,1,435.0,0.0,0.0,0.59,0.35,0.04849693089013607,0.12937045170909492,-0.019642389990284354,0.019642389990284354,-0.02990195207051176,1,0.0,435.0,24.459319006623243,1.0374637473992519e-06,-0.012978040094497647,-0.007454454598864538,3.83347523392853e-05
17,ADP,20150401,2,115.5,1.0,1.0,0.98,0.735,0.4730359103734286,0.4725065903845922,0.005086607101805356,0.005086607101805356,-0.011196912527477966,2,-0.01818181818181818,115.5,24.421783766360935,9.187840079739715e-07,-0.0031644733814789796,-0.009166805830920275,7.932096193983296e-05
